Palavra,Eshemplos,Espanyol,English,Turkish,Origen,id,Portuguese,French
render,,rendir,yield,vermek (ürün),Jeneral,2132,,
renderse,,rendirse,surrender,teslim olmak,Jeneral,2133,,
"rendérse kuénto, dárse kuénto",Me di kuento ke devemos eskrivir en esta lingua para no olvidarla.,darse cuenta,notice,idrak etmek,Jeneral,2134,,
renkor,,rencor,rancour,garez,Jeneral,2135,,
reperkusion,,repercusión,repercussion,etki,Jeneral,2136,,
"replikar, kontestar",,"replicar, contestar","answer back, answer","mukabele etmek, cevap vermek",Jeneral,2137,,
resefta,,receta,"recipe, prescription",reçete,Jeneral,2139,,
resiprokamente,,recíprocamente,reciprocally,karşılıklı,Jeneral,2140,,
"respekto, omenaje",,"respeto, homenaje","respect, homage",saygı,Jeneral,2141,,
omenaje,,homenaje,homage,saygı,Jeneral,2306,,
responder,,responder,"respond, answer",cevap vermek,Jeneral,2143,,
responder de,,responder de,answer for,arka çıkmak,Jeneral,2144,,
retardo,,retraso,delay,gecikme,Jeneral,2145,,
retina,,retina,retina,retina,Jeneral,2146,,
reushir el egzamen,,aprobar (el examen),pass the exam.,sınavı başarmak,Jeneral,2147,,
Rey,,Rey,King,Kral,Jeneral,2148,,
rezerva,,reserva,reserve,ihtiyat,Jeneral,2149,,
ridá (f),"Por dolor de shakeka, se metiyan una rida apretada en la frente.",pañuelo,handkerchief,mendil,Jeneral,2150,lenço,mouchoir
rigorozamente,,rigurosamente,rigorously,"dikkatle, inceden inceye",Jeneral,2151,,
rizikar,,arriesgarse,risk,risketmek,Jeneral,2152,,
ruj,,barra de labios,lipstick,dudak boyası,Jeneral,2154,,
rustiko / a,,rústico / a,rustic,rüstik,Jeneral,2155,,
salida,,salida,exit,çıkış,Jeneral,2156,,
salúd (f),"Kon salud ke vayas, kon salud ke vengas.
El fostan muevo, kon salud ke lo vistas.",salud,health,sıhhat,Jeneral,2157,,
salvar,,salvar,save,kurtarmak,Jeneral,2158,,
sanar,,sanar,"heal, cure",iyileştirmek,Jeneral,2159,,
"sangre fria, kalmo",,sangre fría,"cold blood, sang-froid",soğuk kanlılık,Jeneral,2160,,
satisfecho / a,,satisfecho / a,"satisfied, pleased",memnun,Jeneral,2162,,
sedakero / a,,mendigo / a,beggar,dilenci,Jeneral,2163,,
segundo / a,,segundo / a,second,ikinci,Jeneral,2164,,
segundo dedo,,índice,index-finger,işaret parmağı,Jeneral,2165,,
seguridad,,seguridad,security,güven,Jeneral,2166,,
sehorá (f),"No te tomes sehora: una puerta se serra, otra se avre. (Neh.)
","enojo, aflicción, molestía","annoyance, grief, trouble","can sıkıntısı, dert",Jeneral,2167,,
sekreto / a,,secreto / a,secret,gizli,Jeneral,2168,,
sekso,,sexo,sex,seks,Jeneral,2169,,
selula,,calabozo,cell,hücre,Jeneral,2170,,
sentirse bien,,encontrarse bien,feel good,iyi hissetmek,Jeneral,2171,,
sentro,,centro,center,merkez,Jeneral,2172,,
separar,,separar,separate,ayırmak,Jeneral,2173,,
ser (tener),,sediento,thirsty,susuz,Jeneral,2174,,
shabát (m),Shabat Shalom,sábado,Saturday,Cumartesi,Jeneral,2175,sábado,samedi
shal,,chal,shawl,şal,Jeneral,2176,,
shampinyon,,champiñón,mushroom,mantar,Jeneral,2177,,
shara tropikal,,selva,jungle,tropik orman,Jeneral,2178,,
shefteli,,melocotón,peach,şeftali,Jeneral,2179,,
shofor,,chofer,driver,şoför,Jeneral,2180,,
shok,,choque,shock,şok,Jeneral,2181,,
si,,sí,yes; if,evet; eğer,Jeneral,2182,,
siego / a,,ciego / a,blind,kör,Jeneral,2183,,
silensio,,silencio,silence,sükût,Jeneral,2184,,
silueta,,silueta,silhouette,siluet,Jeneral,2185,,
sinko,,cinco,five,beş,Jeneral,2186,,
sinkuenta,,cincuenta,fifty,elli,Jeneral,2187,,
sintura,,cinturón,belt,kuşak,Jeneral,2188,,
sinyal,,señal,"sign, mark",işaret,Jeneral,2189,,
sinyalar,,señalar,"signal, point out",işaret etmek,Jeneral,2190,,
sinyifikar,,significar,signify,anlamına gelmek,Jeneral,2191,,
sirkular,,circular,circulate,dolaşmak,Jeneral,2192,,
soleado,,soleado,sunny,güneşli,Jeneral,2193,,
soledad,,soledad,solitude,yalnızlık,Jeneral,2194,,
someter,,someter,submit,"boyun eğmek, takdim etmek",Jeneral,2196,,
spiker,,locutor,announcer,spiker,Jeneral,2200,,
"subsistir, turar",,subsistir,"subsist, last","dayanmak, sürmek",Jeneral,2201,,
sudito / a,,súbdito / a,subject,"tebaa, uyruk",Jeneral,2202,,
sugjerar,,sugerir,suggest,telkin etmek,Jeneral,2203,,
suksedar,,suceder,"succeed, follow",arkasından gelmek,Jeneral,2204,,
suksesion,,sucesión,succession,"miras, ardından geliş",Jeneral,2205,,
suksesivamente,,sucesivamente,successively,müteakiben,Jeneral,2206,,
suksesivo / a,,sucesivo / a,successive,müteakip,Jeneral,2207,,
superfisial,,superficial,superficial,yüzeysel,Jeneral,2209,,
surjir,,surgir,arise,ortaya çıkmak,Jeneral,2210,,
tafta,,tafetán,taffeta,tafta,Jeneral,2211,,
tartalear,,balbucear,stutter,dili dolaşmak,Jeneral,2212,,
temeridad,,temeridad,"rashness, courage","ihtiyatsızlık, cesaret",Jeneral,2213,,
tener sangluto,,tener hipo,"hiccough, hiccup",hıçkırık tutmak,Jeneral,2215,,
tenta,,marquesina,"marquee, canopy",tente,Jeneral,2216,,
ti,,ti,you,sen,Jeneral,2217,,
tierra de pais,,territorio,territory,devlet toprağı,Jeneral,2218,,
"timbro, muur",,sello,"stamp, seal","pul, mühür",Jeneral,2219,,
timido / a,,tímido,timid,çekingen,Jeneral,2220,,
timón (m),El kapitan detiene el timón de la embarkasion.,timón,rudder,dümen,Jeneral,2221,,
tipo,,tipo,type,"tip, tür",Jeneral,2222,,
todo en saviendo,,a sabiendas,knowingly,bile bile,Jeneral,2223,,
todo enduna,,tomo y lomo,all at once,tamamen,Jeneral,2224,,
torero,,torero,bull-fighter,boğa güreşçisi,Jeneral,2225,,
torno,,turno,turn off,"devir, sıra",Jeneral,2226,,
toro,,toro,bull,boğa,Jeneral,2227,,
total,,total,total,toplam,Jeneral,2228,,
tractor,,tractor,tractor,traktör,Jeneral,2229,,
trafiko,,tráfico,traffic,trafik,Jeneral,2230,,
tramvay,,tranvía,streetcar,tramvay,Jeneral,2231,,
trankilizar,,tranquilizar,reassure,yatıştırmak,Jeneral,2232,,
tranzito,,transito,transit,tranzit,Jeneral,2233,,
traversar,,atravesar,go across,karşıya geçmek,Jeneral,2234,,
trazera,,trasera,"back, rear",arka,Jeneral,2235,,
tremblante,,tembloroso,trembling,titrek,Jeneral,2236,,
tremblar,,temblar,tremble,titremek,Jeneral,2237,,
trokar de opinion,,cambiar de opinión,change one's mind,caymak,Jeneral,2239,,
umanidad,,humanidad,humanity,insanlık,Jeneral,2240,,
"umiliar, arrebashar",,humillar,humiliate,tahkir etmek,Jeneral,2241,,
una vez ke,,como quiera que,"since, considering",madem ki,Jeneral,2242,,
unir,,unir,unite,birleştirmek,Jeneral,2243,,
uno a otro,,mutuamente,mutually,karşılıklı,Jeneral,2244,,
urbano / a,,urbano / a,"urban, refined",şehirli,Jeneral,2245,,
vaka,,vaca,cow,inek,Jeneral,2246,,
vengansa,,venganza,vengeance,intikam,Jeneral,2247,,
vente,,veinte,twenty,yirmi,Jeneral,2248,,
ventozo,,ventoso,windy,rüzgârlı,Jeneral,2250,,
verso,,hacia,toward,doğru,Jeneral,2251,,
"vestído, vistído (m)",El vistido le viene estrecho.,vestido,"clothing, suit","giysi, kostüm",Jeneral,2252,,
vestirse,,vestirse,"dress, get dressed",giyinmek,Jeneral,2253,,
vida,,vida,life,hayat,Jeneral,2254,,
vidro delantero,,parabrisas,"windscreen, windshield",ön cam,Jeneral,2255,,
viktima,,víctima,victim,"kurban, mağdur",Jeneral,2256,,
vitrina,,escaparate,"showplace, showcase",vitrin,Jeneral,2258,,
voluntad,,voluntad,will,irade,Jeneral,2259,,
votasion,,votación,"vote, voting",oylama,Jeneral,2260,,
"ya, pishin",,ya,"already, at once","artık, hemen",Jeneral,2261,,
